SINIESTRO,LATITUD,LONGITUD,CODIGO POSTAL,CALLE,COLONIA,CAUSA SINIESTRO,TIPO VEHICULO,COLOR,MODELO,NIVEL DAÑO VEHICULO,PUNTO DE IMPACTO,AÑO,MES,DÍA NUMERO,DIA,HORA,ESTADO,CIUDAD,LESIONADOS,RELACION LESIONADOS,EDAD LESIONADO,GENERO LESIONADO,NIVEL LESIONADO,HOSPITALIZADO,FALLECIDO,AMBULANCIA,ARBOL,PIEDRA,DORMIDO,GRUA,OBRA CIVIL,PAVIMENTO MOJADO,EXPLOSION LLANTA,VOLCADURA,PERDIDA TOTAL,CONDUCTOR DISTRAIDO,FUGA,ALCOHOL,MOTOCICLETA,BICICLETA,SEGURO,TAXI,ANIMAL
5803077,16.8612167,-99.8897785,39300,Av. Cuauhtémoc,Del Panteón,COLISION Y/O VUELCO,Auto,GRIS,2015,Bajo,Trasero,2020,JUNIO,1,LUNES,14,GUERRERO,ACAPULCO DE JUAREZ,0,\N,0,,\N,NO,\N,,,,,,,,,,,,,,,,,,
5803202,0,0,0,PORFIRIO DIAZ NO 38,CENTRO,COLISION Y/O VUELCO,Auto,BLANCO,2017,Bajo,\N,2020,JUNIO,1,LUNES,14,GUERRERO,CUAJINICUILAPA,0,\N,0,,\N,NO,\N,,,,,,,,,,,,,,,,,,
5803402,16.8696004,-99.8965864,39300,AV.BAJA CALIFORNIA,PROGRESO,COLISION Y/O VUELCO,Auto,VINO,2006,Bajo,Cofre,2020,JUNIO,1,LUNES,14,GUERRERO,ACAPULCO DE JUAREZ,0,\N,0,,\N,NO,\N,,,,,,,,,,,,,,,,,,
5803930,16.8984937,-99.8269124,39715,EP JUAN R ESCUDERO,Leonardo Rodriguez Alcaine,COLISION Y/O VUELCO,Camión,BLANCO,2009,Bajo,Costado der central,2020,JUNIO,2,MARTES,6,GUERRERO,ACAPULCO DE JUAREZ,0,\N,0,,\N,NO,\N,,,,,,,,,,,,,,,,,,
5804591,17.5425514,-99.5007912,39095,PROSPERIDAD,UNIVERSAL,COLISION Y/O VUELCO,Auto,GRIS,2014,Bajo,Frontal,2020,JUNIO,2,MARTES,16,GUERRERO,CHILPANCINGO DE LOS BRAVO,0,\N,0,,\N,NO,\N,,,,,,,,,,,,,,,,,,
5805036,16.7715564,-99.7724903,39300,Bulevar De Las Naciones,Del Panteón,COLISION Y/O VUELCO,Auto,BLANCO,2018,Bajo,Frontal,2020,JUNIO,2,MARTES,21,GUERRERO,ACAPULCO DE JUAREZ,0,\N,0,,\N,NO,\N,,,,,,,,,,,,,,,,,,
5805754,16.9276903,-99.8031994,39370,Acapulco - Chilpancingo,La Poza,COLISION Y/O VUELCO,Camión,BLANCO,2007,Bajo,Costado der central,2020,JUNIO,3,MIERCOLES,17,GUERRERO,ACAPULCO DE JUAREZ,1,Tercero Conductor,38,M,\N,NO,NO,,,,,,,,,,,,,,,,,,
5806320,17.5683201,-101.3399034,40831,PAPAYA,San Jeronimito,COLISION Y/O VUELCO,Auto,ROJO,2019,Bajo,Frontal,2020,JUNIO,4,JUEVES,12,GUERRERO,PETATLAN,0,\N,0,,\N,NO,\N,,,,,,,,,,,,,,,,,,
5807594,16.8961121,-99.8205476,39715,CTO INTERIOR RENACIMIENTO,RENACIMIENTO,COLISION Y/O VUELCO,Auto,BLANCO,2018,Bajo,Trasero,2020,JUNIO,5,VIERNES,13,GUERRERO,ACAPULCO DE JUAREZ,0,\N,0,,\N,NO,\N,,,,,,,,,,,,,,,,,,
5808952,16.9076057,-99.8321393,39700,Calle 32,Zapata,COLISION Y/O VUELCO,Auto,ROJO,2015,Bajo,Costado der delantero,2020,JUNIO,6,SABADO,16,GUERRERO,ACAPULCO DE JUAREZ,0,\N,0,,\N,NO,\N,,,,,,,,,,,,,,,,,,
5810552,16.8529794,-99.9008608,39300,Av. Costera Miguel Alemán,Centro,COLISION Y/O VUELCO,Auto,ROJO,2015,Bajo,Trasero,2020,JUNIO,8,LUNES,17,GUERRERO,ACAPULCO DE JUAREZ,0,\N,0,,\N,NO,\N,,,,,,,,,,,,,,,,,,
5810812,16.8704341,-99.8759347,39630,CDA Amates,ROBLE,COLISION Y/O VUELCO,Auto,\N,2010,Bajo,Costado izq central,2020,JUNIO,8,LUNES,20,GUERRERO,ACAPULCO DE JUAREZ,0,\N,0,,\N,NO,\N,,,,,,,,,,,,,,,,,,
5811093,16.8632202,-99.9033624,39300,Avenida CONSTITUYENTES,Del Panteón,COLISION Y/O VUELCO,Auto,NEGRO,2008,Bajo,Costado izq central,2020,JUNIO,9,MARTES,11,GUERRERO,ACAPULCO DE JUAREZ,0,\N,0,,\N,NO,\N,,,,,,,,,,,,,,,,,,
5813580,16.8474109,-99.9106691,39300,AV ADOLFO LOPEZ MATEOS,Del Panteón,COLISION Y/O VUELCO,Auto,GRIS,2016,Bajo,Costado der delantero,2020,JUNIO,11,JUEVES,10,GUERRERO,ACAPULCO DE JUAREZ,0,\N,0,,\N,NO,\N,,,,,,,,,,,,,,,,,,
5814068,17.2143173,-100.6301203,40900,5 de Mayo NUM 20,EL BAJO,COLISION Y/O VUELCO,Auto,AZUL,2020,\N,\N,2020,JUNIO,11,JUEVES,14,GUERRERO,TECPAN DE GALEANA,0,\N,0,,\N,NO,\N,,,,,,,,,,,,,,,,,,
5815007,17.6713671,-101.5723925,40880,Carretera Federal 200 ZIHUATANEJO MANZANILLO,LA PUERTA,COLISION Y/O VUELCO,Auto,NEGRO,2013,\N,\N,2020,JUNIO,12,VIERNES,9,GUERRERO,ZIHUATANEJO DE AZUETA,0,\N,0,,\N,NO,\N,,,,,,,,,,,,,,,,,,
5815940,0,0,0,NIÑOS HEROES,Sin dato,COLISION Y/O VUELCO,Auto,BLANCO,2014,Bajo,\N,2020,JUNIO,12,VIERNES,21,GUERRERO,ACAPULCO DE JUAREZ,0,\N,0,,\N,NO,\N,,,,,,,,,,,,,,,,,,
5816261,16.8486301,-99.9078222,39300,Avenida Costera Miguel Alemán,Barrio Acapulco de Juárez Centro,COLISION Y/O VUELCO,Auto,AZUL METALICO,2015,Bajo,Trasero,2020,JUNIO,13,SABADO,12,GUERRERO,ACAPULCO DE JUAREZ,0,\N,0,,\N,NO,\N,,,,,,,,,,,,,,,,,,
5816770,16.8624352,-99.8873802,39300,Av. Cuauhtémoc 191,HORNOS INSURGENTES,COLISION Y/O VUELCO,Auto,PLATA,2011,Bajo,Cofre,2020,JUNIO,13,SABADO,17,GUERRERO,ACAPULCO DE JUAREZ,0,\N,0,,\N,NO,\N,,,,,,,,,,,,,,,,,,
5819404,16.8467117,-99.8115535,39715,MEX 200 // CARRETERA CALLACO-PUERTO MARQUEZ,Leonardo Rodriguez Alcaine // COLOSO,COLISION Y/O VUELCO,Auto,AMARILLO,2014,Bajo,Trasero,2020,JUNIO,15,LUNES,17,GUERRERO,ACAPULCO DE JUAREZ,0,\N,0,,\N,NO,\N,,,,,,,,,,,,,,,,,,
5819411,17.0093146,-100.1248887,40970,Zihuatanejo - Acapulco,Coyuca de Benítez Centro,COLISION Y/O VUELCO,Auto,GRIS,2010,Medio,Parte baja,2020,JUNIO,15,LUNES,17,GUERRERO,COYUCA DE BENITEZ,3,Conductor Asegurado,56,M,BAJO,NO,NO,,,,,,,,,,,,,,,,,,
5819411,17.0093146,-100.1248887,40970,Zihuatanejo - Acapulco,Coyuca de Benítez Centro,COLISION Y/O VUELCO,Auto,GRIS,2010,Medio,Parte baja,2020,JUNIO,15,LUNES,17,GUERRERO,COYUCA DE BENITEZ,3,Pasajero Asegurado,50,M,BAJO,NO,NO,,,,,,,,,,,,,,,,,,
5819411,17.0093146,-100.1248887,40970,Zihuatanejo - Acapulco,Coyuca de Benítez Centro,COLISION Y/O VUELCO,Auto,GRIS,2010,Medio,Parte baja,2020,JUNIO,15,LUNES,17,GUERRERO,COYUCA DE BENITEZ,3,Pasajero Asegurado,54,M,BAJO,NO,NO,,,,,,,,,,,,,,,,,,
5819485,0,0,0,EL QUEMADO,EMILIANO ZAPATA,COLISION Y/O VUELCO,Camión,BLANCO,2018,Bajo,Costado der central,2020,JUNIO,15,LUNES,20,GUERRERO,ACAPULCO DE JUAREZ,0,\N,0,,\N,NO,\N,,,,,,,,,,,,,,,,,,
5820370,16.8666120,-99.8975402,39350,Bernal Díaz del Castillo,Saturación Progreso Infonavit,COLISION Y/O VUELCO,Camión,BLANCO,2017,Bajo,Costado izq trasero,2020,JUNIO,16,MARTES,12,GUERRERO,ACAPULCO DE JUAREZ,0,\N,0,,\N,NO,\N,,,,,,,,,,,,,,,,,,
