SINIESTRO,LATITUD,LONGITUD,CODIGO POSTAL,CALLE,COLONIA,CAUSA SINIESTRO,TIPO VEHICULO,COLOR,MODELO,NIVEL DAÑO VEHICULO,PUNTO DE IMPACTO,AÑO,MES,DÍA NUMERO,DIA,HORA,ESTADO,CIUDAD,LESIONADOS,RELACION LESIONADOS,EDAD LESIONADO,GENERO LESIONADO,NIVEL LESIONADO,HOSPITALIZADO,FALLECIDO,AMBULANCIA,ARBOL,PIEDRA,DORMIDO,GRUA,OBRA CIVIL,PAVIMENTO MOJADO,EXPLOSION LLANTA,VOLCADURA,PERDIDA TOTAL,CONDUCTOR DISTRAIDO,FUGA,ALCOHOL,MOTOCICLETA,BICICLETA,SEGURO,TAXI,ANIMAL
5775465,16.8561199,-99.8648911,39690,Acapulco - Aeropuerto Acapulco COSTERA MIGUEL ALEMAN,Fracc Condesa,COLISION Y/O VUELCO,Auto,GRIS,2007,Bajo,Frontal,2020,MAYO,1,VIERNES,14,GUERRERO,ACAPULCO DE JUAREZ,0,\N,0,,\N,NO,\N,,,,,,,,,,,,,,,,,,
5775839,0,0,0,AJUSTE EN LINEA,Sin dato,COLISION Y/O VUELCO,Auto,GRIS PLATA,2019,\N,\N,2020,MAYO,2,SABADO,10,GUERRERO,ACAPULCO DE JUAREZ,0,\N,0,,\N,NO,\N,,,,,,,,,,,,,,,,,,
5775977,17.5661323,-99.5112536,39010,MEX 95D/AUTOPISTAL DEL SOL,Hermenegildo Galeana,COLISION Y/O VUELCO,Auto,AZUL,2014,Alto,\N,2020,MAYO,2,SABADO,11,GUERRERO,CHILPANCINGO DE LOS BRAVO,0,\N,0,,\N,NO,\N,,,,,,,,,,,,,,,,,,
5776129,16.8778922,-99.8188558,39715,SALINA CRUZ-ACAPULCO,Leonardo Rodriguez Alcaine / LA SABANA,COLISION Y/O VUELCO,Auto,BLANCO,2008,\N,\N,2020,MAYO,2,SABADO,12,GUERRERO,ACAPULCO DE JUAREZ,0,\N,0,,\N,NO,\N,,,,,,,,,,,,,,,,1,,
5776698,16.8401330,-99.9130061,39300,Las Playas,Del Panteón,COLISION Y/O VUELCO,Auto,VERDE,1991,\N,\N,2020,MAYO,3,DOMINGO,15,GUERRERO,ACAPULCO DE JUAREZ,0,\N,0,,\N,NO,\N,,,,,,,,,,,,,,,,,,
5776943,0,0,0,AV DE LAS ROSAS,AVIACION,COLISION Y/O VUELCO,Auto,BLANCO,2016,Bajo,\N,2020,MAYO,3,DOMINGO,22,GUERRERO,TLAPA DE COMONFORT,0,\N,0,,\N,NO,\N,,,,,,,,,,,,,,,,,,
5777819,0,0,0,Juan Ruiz de Alarcón,Barrio San Francisco,COLISION Y/O VUELCO,Auto,GRIS,2016,Bajo,Cofre,2020,MAYO,4,LUNES,15,GUERRERO,CHILPANCINGO DE LOS BRAVO,0,\N,0,,\N,NO,\N,,,,,,,,,,,,1,,,,,,
5777996,16.8822630,-99.8208681,39799,Francisco I Madero,Héroes de Guerrero,COLISION Y/O VUELCO,Auto,GRIS,2018,Bajo,Trasero,2020,MAYO,4,LUNES,22,GUERRERO,ACAPULCO DE JUAREZ,0,\N,0,,\N,NO,\N,,,,,,,,,,,,,,,,,,
5778109,17.0214579,-99.3304359,39271,IGNACIO ALLENDE S/N,CENTRO,COLISION Y/O VUELCO,Auto,BLANCO,2017,Bajo,Frontal,2020,MAYO,5,MARTES,6,GUERRERO,XALPATLAHUAC,0,\N,0,,\N,NO,\N,,,,,,,,,,,,,,,,,,
5779692,0,0,0,EN CENTRO COMERCIAL AV CUAHUTEMOC,Sin dato,COLISION Y/O VUELCO,Auto,BLANCA,2015,\N,\N,2020,MAYO,6,MIERCOLES,16,GUERRERO,ACAPULCO DE JUAREZ,0,\N,0,,\N,NO,\N,,,,,,,,,,,,,,,,,,
5780460,17.5993945,-99.1760601,41100,Revolución,Chilapa de Álvarez Centro,COLISION Y/O VUELCO,Auto,ROJO,2017,Bajo,Costado der delantero,2020,MAYO,7,JUEVES,16,GUERRERO,CHILAPA DE ALVAREZ,0,\N,0,,\N,NO,\N,,,,,,,,,,,,,,,,,,
5782321,17.6487569,-101.5392839,40880,Saturno,Villas las Garzas,COLISION Y/O VUELCO,Camión,BLANCO,2013,\N,\N,2020,MAYO,9,SABADO,13,GUERRERO,ZIHUATANEJO DE AZUETA,0,\N,0,,\N,NO,\N,,,,,,,,,,,,,,,,,,
5782593,17.5476974,-98.3600200,0,CARRETERA ESTATAL LA LUZ DE JUARA A TLALISTAQUILLA,LA LUZ DE JUAREZ,COLISION Y/O VUELCO,Auto,BLANCO,2018,Medio,Costado der delantero,2020,MAYO,9,SABADO,21,GUERRERO,TLALIXTAQUILLA DE MALDONADO,0,\N,0,,\N,NO,\N,,,,,1,,,,1,,,,,,,,,
5783145,16.8108497,-99.8024365,39898,simon bolivar,en frente villas del paraiso I,COLISION Y/O VUELCO,Auto,GRIS METALICO,2008,Medio,Costado der central,2020,MAYO,11,LUNES,2,GUERRERO,ACAPULCO DE JUAREZ,0,\N,0,,\N,NO,\N,,,,,,,,,,,,,,,,,,
5783154,17.5475482,-99.2755416,0,Tixtla de Guerrero - Chilapa de Alvarez,CHILACACHAPA,COLISION Y/O VUELCO,Auto,GRIS,2014,Bajo,Frontal,2020,MAYO,11,LUNES,8,GUERRERO,CUETZALA DEL PROGRESO,0,\N,0,,\N,NO,\N,,,,,,,,,,,,,,,,,,
5783235,16.9216071,-99.8160751,39713,La Venta,La Agrícola,COLISION Y/O VUELCO,Auto,GRIS,2016,Bajo,Costado izq central,2020,MAYO,11,LUNES,10,GUERRERO,ACAPULCO DE JUAREZ,0,\N,0,,\N,NO,\N,,,,,,,,,,,,,,,,,,
5783527,16.8630405,-99.9046874,39300,Avenida Ejido,Del Panteón,COLISION Y/O VUELCO,Auto,BLANCO,2020,Bajo,Costado der trasero,2020,MAYO,11,LUNES,14,GUERRERO,ACAPULCO DE JUAREZ,0,\N,0,,\N,NO,\N,,,,,,,,,,,,,,,,,,
